Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Вода_и_напитки,"Какао смесь, без добавления сахара, порошок",377 кКал,"15,49 г",3 г,"64,43 г"
Вода_и_напитки,"Какао смесь, НЕСТЛЕ, Hot Cocoa Mix Rich Chocolate с Маршмэллоу",400 кКал,"2,8 г",15 г,"71,3 г"
Вода_и_напитки,"Какао смесь, НЕСТЛЕ, Rich Chocolate Hot Cocoa Mix",400 кКал,3 г,15 г,71 г
Вода_и_напитки,"Какао смесь, порошок",398 кКал,"6,67 г",4 г,"80,03 г"
Вода_и_напитки,"Какао смесь, порошок, приготовленный на воде",55 кКал,"0,92 г","0,55 г","11,04 г"
Вода_и_напитки,"Какао смесь, с аспартамом, низкокалорийный, порошок, с доб кальция фосфора, без доб натрия или витамина A",359 кКал,"25,1 г",3 г,"56,9 г"
Вода_и_напитки,"Какао смесь, с аспартамом, порошок, приготовленный на воде",29 кКал,"1,21 г","0,23 г","5,01 г"
Вода_и_напитки,Квас хлебный,27 кКал,"0,2 г",0 г,"5,2 г"
Вода_и_напитки,Кисель из вишневого сока по 2-132,78 кКал,"0,2 г",0 г,"18,9 г"
Вода_и_напитки,Кисель из клюквы по 2-126,53 кКал,0 г,0 г,13 г
Вода_и_напитки,Кисель из кураги по 2-130,54 кКал,"0,4 г",0 г,"12,9 г"
Вода_и_напитки,Кисель из сливового варенья по 2-134,63 кКал,"0,1 г",0 г,"15,5 г"
Вода_и_напитки,Кисель из сушеных яблок по 2-130,66 кКал,"0,1 г",0 г,"16,3 г"
Вода_и_напитки,Кисель из яблок по 2-128,97 кКал,"0,1 г","0,1 г","23,7 г"
Вода_и_напитки,"Клюквенно-абрикосовый сок-напиток, бутилированный",64 кКал,"0,2 г",0 г,"16,1 г"
Вода_и_напитки,"Клюквенно-виноградный сок-напиток, бутилированный",56 кКал,"0,2 г","0,1 г","13,9 г"
Вода_и_напитки,"Клюквенно-яблочный сок-напиток, бутилированный",63 кКал,0 г,"0,11 г","15,85 г"
Вода_и_напитки,"Клюквенно-яблочный сок-напиток, низкокалорийный, с доб. витамина C",19 кКал,"0,1 г",0 г,"4,6 г"
Вода_и_напитки,"Клюквенный сок-коктейль, бутилированный",54 кКал,0 г,"0,1 г","13,52 г"
Вода_и_напитки,"Клюквенный сок-коктейль, бутилированный, низкокалорийный, с кальцием, сахарином и кукурузным подсластителем",19 кКал,"0,02 г","0,01 г","4,6 г"
Вода_и_напитки,"Клюквенный сок-коктейль, замороженный концентрат",201 кКал,"0,05 г",0 г,"51,25 г"
Вода_и_напитки,"Клюквенный сок-коктейль, замороженный концентрат, приготовленный на воде",47 кКал,"0,01 г",0 г,"11,81 г"
Вода_и_напитки,"Коктейль микс, без доб сахара, концентрированный, замороженный",287 кКал,"0,08 г","0,01 г","71,6 г"
Вода_и_напитки,"Коктейль, виски сауэр, микс, бутилированный",87 кКал,"0,1 г","0,1 г","21,4 г"
Вода_и_напитки,"Коктейль, виски сауэр, микс, порошок",383 кКал,"0,6 г","0,1 г","97,3 г"
Вода_и_напитки,"Коктейль, виски сауэр, микс,, бутилированный, с доб. калия и натрия",84 кКал,"0,1 г","0,1 г","21,4 г"
Вода_и_напитки,Компот вишневый по 2-120,57 кКал,"0,2 г","0,1 г","13,8 г"
Вода_и_напитки,Компот грушевый по 2-118,55 кКал,"0,1 г","0,1 г","13,4 г"
Вода_и_напитки,Компот из абрикосов по 2-122,56 кКал,"0,2 г",0 г,"13,6 г"
Вода_и_напитки,Компот из айвы по 2-118,56 кКал,"0,1 г","0,1 г","13,7 г"
Вода_и_напитки,Компот из крыжовника и черной смородины по 2-124,58 кКал,"0,3 г","0,1 г","13,9 г"
Вода_и_напитки,Компот персиковый по 2-122,88 кКал,"0,2 г",0 г,"21,8 г"
Вода_и_напитки,Компот черешневый по 2-120,58 кКал,"0,2 г","0,1 г",14 г
Вода_и_напитки,Компот яблочный по 2-118,55 кКал,"0,1 г","0,1 г","13,6 г"
Вода_и_напитки,Кофе жареный в зернах,331 кКал,"13,9 г","14,4 г","29,5 г"
Вода_и_напитки,"Кофе и какао (мокка) порошок, с забеливателем и и низкокалорийным подсластителем, без кофеина",440 кКал,9 г,"13,21 г","66,6 г"
Вода_и_напитки,"Кофе молотый, сваренный на водопроводной воде",1 кКал,"0,12 г","0,02 г",0 г
Вода_и_напитки,"Кофе молотый, сваренный на водопроводной воде, без кофеина",0 кКал,"0,1 г",0 г,0 г
Вода_и_напитки,Кофе на молоке,58 кКал,"0,7 г",1 г,"11,2 г"
Вода_и_напитки,Кофе на сгущёном молоке,55 кКал,"0,7 г","0,9 г","10,9 г"
Вода_и_напитки,"Кофе натуральный, молотый","200,6 кКал","13,9 г","14,4 г","4,1 г"
Вода_и_напитки,"Кофе растворимый с цикорием, приготовленный на воде",3 кКал,"0,09 г",0 г,"0,75 г"
Вода_и_напитки,"Кофе растворимый, без кофеина, порошок",351 кКал,"11,6 г","0,2 г",76 г
Вода_и_напитки,"Кофе растворимый, без кофеина, приготовленный на воде",2 кКал,"0,12 г",0 г,"0,43 г"
Вода_и_напитки,"Кофе растворимый, обычный, порошок, с половинным содерж. кофеина",352 кКал,"14,42 г","0,5 г","73,18 г"
Вода_и_напитки,"Кофе растворимый, порошок",353 кКал,"12,2 г","0,5 г","75,4 г"
Вода_и_напитки,"Кофе растворимый, приготовленный на воде",2 кКал,"0,1 г",0 г,"0,34 г"
Вода_и_напитки,"Кофе растворимый, с сахаром, с ароматом мокка, порошок",460 кКал,"5,29 г","15,87 г","72,14 г"
Вода_и_напитки,"Кофе растворимый, с цикорием, порошок",355 кКал,"9,3 г","0,2 г","78,4 г"
Вода_и_напитки,"Кофе растворимый, сухой","118,7 кКал",15 г,"3,6 г",7 г
Вода_и_напитки,Кофе чёрный без сахара,7 кКал,"0,2 г","0,5 г","0,2 г"
Вода_и_напитки,"Кофе эспрессо, приготовленный в ресторане",9 кКал,"0,12 г","0,18 г","1,67 г"
Вода_и_напитки,"Кофе эспрессо, приготовленный в ресторане, без кофеина",9 кКал,"0,1 г","0,18 г","1,69 г"
Вода_и_напитки,Краинская,0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Лимонад, замороженный концентрат, белый",196 кКал,"0,22 г","0,7 г","49,59 г"
Вода_и_напитки,"Лимонад, замороженный концентрат, белый, приготовленный на воде",40 кКал,"0,07 г","0,04 г","10,42 г"
Вода_и_напитки,"Лимонад, замороженный концентрат, розовый",192 кКал,"0,22 г","0,69 г","48,56 г"
Вода_и_напитки,"Лимонад, замороженный концентрат, розовый, приготовленный на воде",43 кКал,"0,05 г","0,15 г","10,71 г"
Вода_и_напитки,"Лимонад, замороженный концетрат, приготовленный на воде",52 кКал,0 г,0 г,"13,79 г"
Вода_и_напитки,"Лимонад, порошок",376 кКал,0 г,"1,05 г","97,17 г"
Вода_и_напитки,"Лимонад, порошок, приготовленный на воде",14 кКал,0 г,"0,04 г","3,59 г"
Вода_и_напитки,Миргородская,0 кКал,0 г,0 г,0 г
Вода_и_напитки,"Молочный коктейль, шоколадный, малокалорийный, с аспартамом (E951), порошок",329 кКал,25 г,"2,6 г",42 г
Вода_и_напитки,"Молочный коктейль, шоколадный, малокалорийный, с аспартамом (E951), порошок, приготовленный на воде со льдом",29 кКал,"2,19 г","0,23 г","3,71 г"
Вода_и_напитки,"Молочный напиток, готовый к употреблению, ароматизированный и подслащенный, с доб. кальция, витаминов A и D, с пониж. содерж. жира, 1.83%",77 кКал,"3,05 г","1,83 г","11,68 г"
Вода_и_напитки,Морковный сок,56 кКал,"1,1 г","0,1 г","12,6 г"
Вода_и_напитки,Напитки газированные на плодово-ягодных настоях,46 кКал,0 г,0 г,"9,5 г"
Вода_и_напитки,Напитки газированные на цитрусовых настоях,33 кКал,0 г,0 г,"7,5 г"
Вода_и_напитки,"Напитки газированные на эссенциях («Кока-кола», «Пепси-кола»)",38 кКал,0 г,0 г,"8,7 г"
Вода_и_напитки,Напиток апельсиновый по 2-160,53 кКал,"0,1 г",0 г,13 г
Вода_и_напитки,"Напиток к завтраку, Апельсиновый, готовый к употреблению, с доб нутриентами",53 кКал,0 г,0 г,"13,1 г"
Вода_и_напитки,Напиток клюквенный по 2-160,51 кКал,"0,1 г",0 г,"12,4 г"
Вода_и_напитки,"Напиток микс, QUAKER OATS, GATORADE, со вкусом апельсина, порошок",388 кКал,0 г,"1,23 г","94,11 г"
Вода_и_напитки,Напиток яблочный по 2-160,54 кКал,"0,1 г","0,1 г","13,2 г"
Вода_и_напитки,"Напиток-микс, с клубничным вкусом, порошок",389 кКал,"0,1 г","0,2 г","99,1 г"
Вода_и_напитки,"Напиток-микс, с клубничным вкусом, порошок, приготовленный на цельном молоке",88 кКал,3 г,"3,1 г","12,3 г"
Вода_и_напитки,"Напиток-сок,  смесь овощей и фруктов, с уменьш. кол. калорий, с низкокалорийным подсластителем, и доб. витамина C",4 кКал,0 г,0 г,"1,1 г"
Вода_и_напитки,"Напиток-сок, смесь овощей и фруктов, с доб. нутриентов",29 кКал,"0,04 г","0,01 г","7,47 г"
Вода_и_напитки,"Напиток-шейк, фаст фуд, ванильный",148 кКал,"3,37 г","6,52 г","18,69 г"
Вода_и_напитки,"Напиток-шейк, фаст фуд, клубничный",113 кКал,"3,4 г","2,8 г","18,5 г"
Вода_и_напитки,"Напиток, из плодов шиповника по 2-162",50 кКал,"0,2 г","0,1 г","11,9 г"
Вода_и_напитки,"Напиток, Коктейль персиковый по 2-164",98 кКал,"1,7 г","1,9 г","18,5 г"
Вода_и_напитки,"Напиток, рисовый, неподслащенный, с доб. кальция, витаминов A и D",47 кКал,"0,28 г","0,97 г","8,87 г"
Вода_и_напитки,"Напиток, с ароматом апельсина, на завтрак, низкокалорийный, порошок",217 кКал,"3,6 г",0 г,"82,1 г"
Вода_и_напитки,"Напиток, с ароматом апельсина, на завтрак, порошок",386 кКал,0 г,0 г,"98,54 г"
Вода_и_напитки,"Напиток, с ароматом апельсина, на завтрак, с мякотью, замороженный концентрат",172 кКал,"0,1 г","0,5 г","42,7 г"
Вода_и_напитки,"Напиток, с ароматом апельсина, на завтрак, с мякотью, замороженный концентрат, приготовленный на воде",49 кКал,"0,03 г","0,14 г","12,21 г"
Вода_и_напитки,"Напиток, с ароматом апельсина, на завтрак, с соком и мякотью, замороженный концентрат",153 кКал,"0,4 г",0 г,"38,9 г"
Вода_и_напитки,"Напиток, с фруктовым ароматом, сухая смесь, низкокалорийный, с заменителем сахара аспартам (E951)",218 кКал,"0,45 г","0,04 г","87,28 г"
