Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Сосиски_и_колбаса,"Колбаса, Кровяная",379 кКал,"14,6 г","34,5 г","1,29 г"
Сосиски_и_колбаса,"Колбаса, Ливерная, свинина",326 кКал,"14,1 г","28,5 г","2,2 г"
Сосиски_и_колбаса,"Колбаса, польская, говядина с курицей, острая",259 кКал,"17,6 г","19,4 г","3,6 г"
Сосиски_и_колбаса,"Колбаса, польская, из индейки и говядины, копченая",226 кКал,"13,1 г","17,6 г","3,9 г"
Сосиски_и_колбаса,"Колбаса, польская, из свинины",326 кКал,"14,1 г","28,72 г","1,63 г"
Сосиски_и_колбаса,"Колбаса, польская, из свинины и говядины, копченая",301 кКал,"12,07 г","26,56 г","1,98 г"
Сосиски_и_колбаса,"Колбаса, свинина, вареная",339 кКал,"19,43 г","28,36 г",0 г
Сосиски_и_колбаса,"Колбаса, свинина, говядина, вареная",396 кКал,"13,8 г","36,25 г","2,7 г"
Сосиски_и_колбаса,"Колбаса, свинина, сырая",288 кКал,"15,39 г","24,8 г","0,93 г"
Сосиски_и_колбаса,"Колбасы, копченые сардельки, из свинины и говядины",320 кКал,12 г,"28,73 г","2,42 г"
Сосиски_и_колбаса,"Копченые сардельки, из свинины",309 кКал,"11,98 г","28,23 г","0,94 г"
Сосиски_и_колбаса,"Копченые сардельки, из свинины и говядины, …",268 кКал,"13,97 г","21,43 г","3,96 г"
Сосиски_и_колбаса,"Копченые сардельки, из свинины и говядины, с добавлением обезжиренного сухого молока",313 кКал,"13,28 г","27,61 г","1,92 г"
Сосиски_и_колбаса,Корейка копчено-запеченная (свинина),475 кКал,"10,2 г","48,2 г",0 г
Сосиски_и_колбаса,Корейка сырокопченая (свинина),469 кКал,"10,5 г","47,4 г",0 г
Сосиски_и_колбаса,"Куриные грудки, запеченные в духовке, обезжиренные, нарезка",79 кКал,"16,79 г","0,39 г","2,17 г"
Сосиски_и_колбаса,"курица, Паштет, из печени, консерв.",201 кКал,"13,45 г","13,1 г","6,55 г"
Сосиски_и_колбаса,"Ливанская болонья, говядина",172 кКал,"19,03 г","10,44 г","0,44 г"
Сосиски_и_колбаса,Мясной хлеб ветчинный,256 кКал,"12,9 г","21,8 г","1,9 г"
Сосиски_и_колбаса,Мясной хлеб говяжий,263 кКал,"10,5 г","23,9 г","1,4 г"
Сосиски_и_колбаса,Мясной хлеб отдельный,246 кКал,12 г,21 г,"2,1 г"
Сосиски_и_колбаса,Окорок тамбовский вареный,288 кКал,"14,3 г","25,6 г",0 г
Сосиски_и_колбаса,Охотничьи колбаски,463 кКал,"25,3 г",40 г,"0,3 г"
Сосиски_и_колбаса,Палочки из бекона и говядины,517 кКал,"29,1 г","44,2 г","0,8 г"
Сосиски_и_колбаса,"Пастрома, из индейки",139 кКал,"16,3 г","6,21 г","3,24 г"
Сосиски_и_колбаса,"Паштет, из ливерной колбасы",305 кКал,"12,38 г","25,45 г","3,39 г"
Сосиски_и_колбаса,"Паштет, с ароматом трюфелей",327 кКал,"11,2 г","28,5 г","6,3 г"
Сосиски_и_колбаса,"Пепперони (острое салями), свинина, говядина",504 кКал,"19,25 г","46,28 г","1,18 г"
Сосиски_и_колбаса,"Рулет из индейки, белое и темное мясо",149 кКал,"18,14 г","6,99 г","2,12 г"
Сосиски_и_колбаса,"Рулет из индейки, белое мясо",106 кКал,"14,81 г","3,77 г","2,2 г"
