Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Черкизово,"Колбаски Рубленые ""для Жарки"" [Черкизово]",296 кКал,15 г,26 г,2 г
Черкизово,Колбаски Рубленые из Свинины и Говядины [Черкизово],276 кКал,15 г,24 г,0 г
Черкизово,Корейка [Черкизово],121 кКал,15 г,5 г,4 г
Черкизово,Корейка по-Домашнему [Черкизово],196 кКал,13 г,16 г,0 г
Черкизово,Корейка по-Черкизовски [Черкизово],151 кКал,17 г,7 г,4 г
Черкизово,Корейка Столичная [Черкизово],214 кКал,13 г,18 г,0 г
Черкизово,Корейка Фермерская [Черкизово],121 кКал,15 г,5 г,4 г
Черкизово,Котлета на Косточке Свиная [Черкизово],258 кКал,15 г,22 г,0 г
Черкизово,Котлеты Домашние [Черкизово],281 кКал,14 г,25 г,0 г
Черкизово,Котлеты из Говядины Охлажденные [Черкизово],144 кКал,17 г,8 г,1 г
Черкизово,Котлеты Рубленые из Говядины [Черкизово],330 кКал,15 г,30 г,0 г
Черкизово,Котлеты Рубленые из Свинины и Говядины [Черкизово],348 кКал,15 г,32 г,0 г
Черкизово,Котлеты Рубленые с Белыми Грибами [Черкизово],258 кКал,15 г,22 г,0 г
Черкизово,Котлеты Рубленые с Сыром [Черкизово],335 кКал,14 г,33 г,0 г
Черкизово,Купаты [Черкизово],310 кКал,15 г,26 г,4 г
Черкизово,Купаты для Гриля [Черкизово],202 кКал,15 г,14 г,4 г
Черкизово,Купаты с Луком [Черкизово],373 кКал,15 г,33 г,4 г
Черкизово,Лопатка в Пряном Соусе с Яблоками [Черкизово],180 кКал,16 г,12 г,2 г
Черкизово,Лопатка В Чесночном Маринаде Для Запекания [Черкизово],119 кКал,12 г,7 г,2 г
Черкизово,Лопатка Свиная [Черкизово],203 кКал,17 г,15 г,0 г
Черкизово,Лопатка Столичная [Черкизово],113 кКал,13 г,5 г,4 г
Черкизово,Лопатка Фермерская [Черкизово],113 кКал,13 г,5 г,4 г
Черкизово,Медальоны из Свиной Вырезки [Черкизово],135 кКал,18 г,7 г,0 г
Черкизово,Мясной Орех из Куриных Грудок [Черкизово],123 кКал,15 г,7 г,0 г
Черкизово,Окорок в Маринаде [Черкизово],270 кКал,16 г,22 г,2 г
Черкизово,Окорок по-Тамбовски [Черкизово],265 кКал,18 г,21 г,1 г
Черкизово,Окорок Свиной Охлажденный [Черкизово],130 кКал,19 г,6 г,0 г
Черкизово,Паштет [Черкизово],229 кКал,11 г,17 г,8 г
Черкизово,Паштет Нежный с Грибами [Черкизово],309 кКал,10 г,29 г,2 г
Черкизово,Поджарка Свиная [Черкизово],303 кКал,15 г,27 г,0 г
