Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Пятерочка,Каша Овсяная [Пятерочка],299 кКал,"9,5 г",5 г,54 г
Пятерочка,Каша Овсяная с Абрикосом [Пятерочка],310 кКал,10 г,5 г,55 г
Пятерочка,Кекс Маффин с Ванилином [Пятерочка],426 кКал,"5,2 г","22,8 г",50 г
Пятерочка,Кекс Маффин Шоколадный [Пятерочка],410 кКал,"5,5 г",22 г,"47,5 г"
Пятерочка,Кета [Пятерочка],184 кКал,"24,3 г","9,6 г",0 г
Пятерочка,Кефир [Пятерочка],28 кКал,3 г,0 г,4 г
Пятерочка,Киви [Пятерочка],61 кКал,"1,1 г","0,5 г",15 г
Пятерочка,Колбаска Кондитерская [Пятерочка],300 кКал,5 г,13 г,40 г
Пятерочка,Конвертик с Вишневой Начинкой [Пятерочка],403 кКал,"5,2 г","19,2 г","52,4 г"
Пятерочка,Конвертик с Черничной Начинкой [Пятерочка],403 кКал,5 г,19 г,52 г
Пятерочка,Крабовые Палочки [Пятерочка],97 кКал,"5,6 г","0,4 г","17,7 г"
Пятерочка,Креветки Мелкие [Пятерочка],110 кКал,19 г,2 г,"2,5 г"
Пятерочка,Круассан с Шоколадной Начинкой [Пятерочка],409 кКал,"6,5 г",20 г,50 г
Пятерочка,Крупа Гречневая Ядрица [Пятерочка],329 кКал,"12,6 г","2,6 г",68 г
Пятерочка,Крылья Куриные Гриль [Пятерочка],207 кКал,"21,1 г","13,6 г",0 г
Пятерочка,Кукурузные Палочки [Пятерочка],470 кКал,6 г,14 г,80 г
Пятерочка,Курага [Пятерочка],234 кКал,"5,2 г","0,5 г",55 г
Пятерочка,Куриные Пупки Отварные [Пятерочка],81 кКал,"14,6 г","2,5 г","0,4 г"
Пятерочка,Курица [Пятерочка],190 кКал,16 г,14 г,0 г
Пятерочка,Курица Гриль [Пятерочка],170 кКал,19 г,10 г,0 г
Пятерочка,Курник с Курицей и Картофелем [Пятерочка],300 кКал,"10,5 г","12,5 г",35 г
Пятерочка,Лаваш Армянский От Бадалова [Пятерочка],280 кКал,9 г,1 г,56 г
Пятерочка,Лаваш Армянский Тонкий [Пятерочка],197 кКал,"6,3 г","0,7 г","40,8 г"
Пятерочка,Лепешка с Соусом Песто [Пятерочка],467 кКал,14 г,22 г,53 г
Пятерочка,Лепешка Узбекская [Пятерочка],217 кКал,"12,3 г","5,4 г","29,7 г"
Пятерочка,Лимон [Пятерочка],34 кКал,"0,9 г","0,1 г",3 г
Пятерочка,Лук Красный [Пятерочка],42 кКал,"1,4 г",0 г,"9,1 г"
Пятерочка,Лук Репчатый [Пятерочка],41 кКал,"1,4 г",0 г,"10,4 г"
Пятерочка,Манго [Пятерочка],60 кКал,"0,8 г","0,4 г","13,4 г"
Пятерочка,Манка [Пятерочка],328 кКал,"10,3 г",1 г,"67,4 г"
Пятерочка,Мармелад [Пятерочка],320 кКал,0 г,0 г,81 г
Пятерочка,Масло Сливочное [Пятерочка],661 кКал,"0,8 г","82,5 г","1,3 г"
Пятерочка,Матнакаш [Пятерочка],225 кКал,"8,1 г",1 г,46 г
Пятерочка,Медальон со Льном [Пятерочка],370 кКал,"7,8 г","17,1 г","46,4 г"
Пятерочка,Мини Багет [Пятерочка],270 кКал,"8,4 г","1,2 г","54,9 г"
Пятерочка,Мини Багет с Луком [Пятерочка],263 кКал,"8,5 г","1,2 г","53,3 г"
Пятерочка,Мини Багет с Чесночным Маслом [Пятерочка],279 кКал,7 г,"8,4 г",43 г
Пятерочка,Минтай [Пятерочка],72 кКал,"15,9 г","0,9 г",0 г
Пятерочка,Молоко [Пятерочка],60 кКал,3 г,"3,2 г","4,7 г"
Пятерочка,"Молоко 2,5% [Пятерочка]",53 кКал,3 г,"2,5 г","4,7 г"
Пятерочка,"Молоко 3,2% [Пятерочка]",60 кКал,3 г,"3,2 г","4,7 г"
Пятерочка,Мороженое [Пятерочка],180 кКал,4 г,8 г,22 г
Пятерочка,Нектар Морковно-Яблочный [Пятерочка],20 кКал,"0,5 г",0 г,5 г
Пятерочка,Нектар Морковный с Мякотью [Пятерочка],25 кКал,"0,5 г",0 г,"5,5 г"
Пятерочка,Нектарин [Пятерочка],44 кКал,"1,1 г","0,3 г",11 г
Пятерочка,Овсяное Печенье [Пятерочка],400 кКал,6 г,11 г,69 г
Пятерочка,Огурец Свежий [Пятерочка],15 кКал,"0,8 г","0,1 г","2,8 г"
Пятерочка,Палочка Сырная [Пятерочка],441 кКал,10 г,26 г,40 г
Пятерочка,Персик [Пятерочка],45 кКал,"0,9 г","0,1 г","9,5 г"
Пятерочка,Печенье Roleo [Пятерочка],393 кКал,5 г,20 г,72 г
