Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Травы__специи_и_соусы,"Заправка для салата итальянская, обезжиренная, без соли",76 кКал,"0,47 г","6,38 г","4,57 г"
Травы__специи_и_соусы,"Заправка для салата итальянская, покупная",240 кКал,"0,41 г","21,12 г","12,12 г"
Травы__специи_и_соусы,Заправка для салата кунжутная,443 кКал,"3,1 г","45,2 г","7,6 г"
Травы__специи_и_соусы,Заправка для салата с беконом и помидорами,326 кКал,"1,8 г",35 г,"1,8 г"
Травы__специи_и_соусы,Заправка для салата с уксусом и маслом домашнего приготовления,449 кКал,0 г,"50,1 г","2,5 г"
Травы__специи_и_соусы,"Заправка для салата Тысяча островов, обезжиренная",195 кКал,"0,83 г","11,32 г","22,86 г"
Травы__специи_и_соусы,"Заправка для салата Тысяча островов, покупная",379 кКал,"1,09 г","35,06 г","13,84 г"
Травы__специи_и_соусы,"Заправка для салата французская, обезжиренная",132 кКал,"0,2 г","0,27 г","29,94 г"
Травы__специи_и_соусы,"Заправка для салата французская, по домашнему рецепту",631 кКал,"0,1 г","70,2 г","3,4 г"
Травы__специи_и_соусы,Заправка для салата Цезарь,542 кКал,"2,17 г","57,85 г","2,8 г"
Травы__специи_и_соусы,"Заправка для салата Цезарь, низкокалорийная",110 кКал,"0,3 г","4,4 г","18,5 г"
Травы__специи_и_соусы,"Заправка для салата Цезарь, обезжиренная",131 кКал,"1,47 г","0,23 г","30,53 г"
Травы__специи_и_соусы,"Заправка для салата, медово-горчичная, низкокалорийная",207 кКал,"0,98 г",10 г,"27,46 г"
Травы__специи_и_соусы,"Заправка для салата, обезжиренная, ""MIRACLE WHIP LIGHT"" компании KRAFT",84 кКал,"0,2 г","2,7 г","13,6 г"
Травы__специи_и_соусы,"Заправка для салата, обезжиренный майонез ""Mayo"" компании KRAFT",64 кКал,"0,2 г",0 г,"13,8 г"
Травы__специи_и_соусы,"Заправка для салата, пахта, легкая",202 кКал,"1,25 г","12,42 г","20,23 г"
Травы__специи_и_соусы,"Заправка для салата, перечная, покупная",564 кКал,"1,2 г","61,4 г","3,5 г"
Травы__специи_и_соусы,"Заправка для салата, Ранчо (фермерская), обезжиренная",119 кКал,"0,25 г","1,92 г","26,41 г"
Травы__специи_и_соусы,"Заправка для салата, Ранчо (фермерская), обезжиренная",196 кКал,"1,25 г","12,42 г","20,23 г"
Травы__специи_и_соусы,"Заправка для салата, Ранчо (фермерская), покупная",430 кКал,"1,32 г","44,54 г","5,9 г"
Травы__специи_и_соусы,"Заправка для салата, русская",355 кКал,"0,69 г","26,18 г","31,2 г"
Травы__специи_и_соусы,"Заправка для салата, русская, низкокалорийная",141 кКал,"0,5 г",4 г,"27,3 г"
Травы__специи_и_соусы,"Заправка для салата, с голубым сыром или сыром рокфор, низкокалорийная",99 кКал,"5,1 г","7,2 г","2,9 г"
Травы__специи_и_соусы,"Заправка для салата, с голубым сыром или сыром рокфор, низкокалорийная",86 кКал,"2,1 г","2,7 г","13,2 г"
Травы__специи_и_соусы,"Заправка для салата, с голубым сыром или сыром рокфор, обезжиренная",115 кКал,"1,52 г","1,01 г","23,8 г"
Травы__специи_и_соусы,"Заправка для салата, с голубым сыром или сыром рокфор, покупная",484 кКал,"1,37 г","51,1 г","4,37 г"
Травы__специи_и_соусы,"Заправка для салата, с различными запахами в ассортименте, в спрее",165 кКал,"0,16 г","10,75 г","16,3 г"
Травы__специи_и_соусы,"Заправка для салата, Тысяча островов, обезжиренная",132 кКал,"0,55 г","1,45 г","25,97 г"
Травы__специи_и_соусы,"Заправка для салата, французская, без соли, покупная",459 кКал,"0,77 г","44,81 г","15,58 г"
Травы__специи_и_соусы,"Заправка для салата, французская, низкокалорийная",227 кКал,"0,4 г",13 г,27 г
Травы__специи_и_соусы,"Заправка для салата, французская, обезжиренная",222 кКал,"0,58 г","11,52 г","29,72 г"
Травы__специи_и_соусы,"Заправка для салата, французская, обезжиренная, без соли",233 кКал,"0,58 г","13,46 г","28,18 г"
Травы__специи_и_соусы,"Заправка для салата, французская, покупная",419 кКал,"0,87 г","39,07 г","16,39 г"
Травы__специи_и_соусы,"Заправка для салата, французская, с хлопковым маслом по домашнему рецепту",631 кКал,"0,1 г","70,2 г","3,4 г"
Травы__специи_и_соусы,"Зира, семена",375 кКал,"17,81 г","22,27 г","33,74 г"
Травы__специи_и_соусы,"Ива, молодые листья, нарубленные, (Аляска)",122 кКал,"6,1 г","1,6 г","20,7 г"
Травы__специи_и_соусы,"Иван-чай узколистный, листья, сырой",103 кКал,"4,71 г","2,75 г","8,62 г"
Травы__специи_и_соусы,"Имбирь, крень сушеный молотый",335 кКал,"8,98 г","4,24 г","57,52 г"
Травы__специи_и_соусы,Кардамон,311 кКал,"10,76 г","6,7 г","40,47 г"
Травы__специи_и_соусы,"Карри, порошок",325 кКал,"14,29 г","14,01 г","2,63 г"
Травы__специи_и_соусы,"Кервель, сушеный",237 кКал,"23,2 г","3,9 г","37,8 г"
Травы__специи_и_соусы,Кетчуп,101 кКал,"1,04 г","0,1 г","27,1 г"
Травы__специи_и_соусы,Кетчуп с пониженым содержанием соли,101 кКал,"1,04 г","0,1 г","27,1 г"
Травы__специи_и_соусы,"Кориандр (кинза), листья, сушеные",279 кКал,"21,93 г","4,78 г","41,7 г"
Травы__специи_и_соусы,"Кориандр, семена",298 кКал,"12,37 г","17,77 г","13,09 г"
Травы__специи_и_соусы,"Корица, молотая",247 кКал,"3,99 г","1,24 г","27,49 г"
Травы__специи_и_соусы,"Куркума, молотая",312 кКал,"9,68 г","3,25 г","44,44 г"
Травы__специи_и_соусы,Лавровый лист,313 кКал,"7,61 г","8,36 г","48,67 г"
Травы__специи_и_соусы,"Лемонграсс (цимбопогон), сырой",99 кКал,"1,82 г","0,49 г","25,31 г"
Травы__специи_и_соусы,Лимонная кислота,250 кКал,0 г,0 г,0 г
Травы__специи_и_соусы,"Лук-шалот, сублимированный",348 кКал,"12,3 г","0,5 г",65 г
Травы__специи_и_соусы,Луковый порошок,341 кКал,"10,41 г","1,04 г","63,92 г"
Травы__специи_и_соусы,"Майонез «Провансаль», 67% жирности",629 кКал,"2,8 г",67 г,"3,7 г"
Травы__специи_и_соусы,"Майонез легкий  ""Mayo Light"" компании KRAFT",334 кКал,"0,6 г","32,9 г","8,4 г"
Травы__специи_и_соусы,"Майонез легкий, 22% жирности",238 кКал,"0,37 г","22,22 г","9,23 г"
Травы__специи_и_соусы,"Майонез на основе соевого масла, без соли",717 кКал,"1,1 г","79,4 г","2,7 г"
Травы__специи_и_соусы,Майонез низкокалорийный,263 кКал,"0,9 г",19 г,"23,9 г"
Травы__специи_и_соусы,Майонез с тофу,322 кКал,"5,95 г","31,79 г","1,96 г"
Травы__специи_и_соусы,"Майонез столовый молочный, 67% жирности",627 кКал,"2,4 г",67 г,"3,9 г"
Травы__специи_и_соусы,"Майонез, 33% жирности, без холестерина",333 кКал,"0,9 г","33,3 г","6,7 г"
Травы__специи_и_соусы,"Майонез, 40% жирности, с оливковым маслом",361 кКал,"0,37 г",40 г,0 г
Травы__специи_и_соусы,"Майонез, 78% жирности, без холестерина",688 кКал,0 г,"77,8 г","0,3 г"
Травы__специи_и_соусы,"Майонез, лекгий, SMART BALANCE, Omega Plus light, 34% жира",333 кКал,"1,53 г","34,18 г","9,19 г"
Травы__специи_и_соусы,"Майонез, обезжиренный",84 кКал,"0,2 г","2,7 г","13,6 г"
Травы__специи_и_соусы,"Майонез, с соевым и сафлоровым маслом и солью",717 кКал,"1,1 г","79,4 г","2,7 г"
Травы__специи_и_соусы,"Майонез, с соевым маслом и солью",680 кКал,"0,96 г","74,85 г","0,57 г"
Травы__специи_и_соусы,"Майонез, с солью",250 кКал,"0,65 г","21,6 г","14,78 г"
Травы__специи_и_соусы,"Майонез,19% жирности, безсолевой, низкокалорийный или диетический",231 кКал,"0,3 г","19,2 г",16 г
Травы__специи_и_соусы,"Майоран, сушеный",271 кКал,"12,66 г","7,04 г","20,26 г"
Травы__специи_и_соусы,Маннит,376 кКал,0 г,0 г,"98,9 г"
Травы__специи_и_соусы,Маринад овощной без томата по 2-106,134 кКал,"1,2 г","9,1 г","10,5 г"
Травы__специи_и_соусы,"Мускатный орех, молотый",525 кКал,"5,84 г","36,31 г","28,49 г"
Травы__специи_и_соусы,"Мускатный цвет, молотый",475 кКал,"6,71 г","32,38 г","30,3 г"
Травы__специи_и_соусы,"Мята колосистая, свежая",44 кКал,"3,29 г","0,73 г","1,61 г"
Травы__специи_и_соусы,"Мята колосистая, сушеная",285 кКал,"19,93 г","6,03 г","22,24 г"
Травы__специи_и_соусы,"Мята перечная, свежая",70 кКал,"3,75 г","0,94 г","6,89 г"
Травы__специи_и_соусы,"Орегано, сушеный",265 кКал,9 г,"4,28 г","26,42 г"
Травы__специи_и_соусы,"Пажитник, семена",323 кКал,23 г,"6,41 г","33,75 г"
Травы__специи_и_соусы,"Паприка, перец сладкий молотый",282 кКал,"14,14 г","12,89 г","19,09 г"
Травы__специи_и_соусы,Паста для сэндвичей с порезанными маринованными огурцами на масляной основе,389 кКал,"0,9 г",34 г,22 г
Травы__специи_и_соусы,Перец белый,296 кКал,"10,4 г","2,12 г","42,41 г"
Травы__специи_и_соусы,"Перец душистый, молотый",263 кКал,"6,09 г","8,69 г","50,52 г"
Травы__специи_и_соусы,Перец красный молотый острый,318 кКал,"12,01 г","17,27 г","29,43 г"
Травы__специи_и_соусы,"Перец черный,  молотый или горошек",251 кКал,"10,39 г","3,26 г","38,65 г"
Травы__специи_и_соусы,Петрушка сушеная,292 кКал,"26,63 г","5,48 г","23,94 г"
Травы__специи_и_соусы,Пищевая сода,0 кКал,0 г,0 г,0 г
Травы__специи_и_соусы,Приправа для птицы,307 кКал,"9,59 г","7,53 г","54,29 г"
