Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Салаты,Редиска со сметаной,"103,5 кКал","2,7 г",9 г,3 г
Салаты,Редька в сметане,"111,8 кКал",2 г,"9,2 г","5,5 г"
Салаты,Рыбный салат,"145,6 кКал","5,1 г",12 г,"4,5 г"
Салаты,Рыбный салат,207 кКал,"9,3 г","18,3 г","1,4 г"
Салаты,"Салат ""Ак-идель"" (рыбный с рисом по-башкирски)","368,8 кКал","18,4 г","29,6 г","7,5 г"
Салаты,"Салат ""Архиерейский""","221,5 кКал","5,9 г","20,8 г",3 г
Салаты,"Салат ""Весна""","90,3 кКал",3 г,"7,4 г","3,1 г"
Салаты,"Салат ""Гнездо глухаря""",0 кКал,0 г,0 г,0 г
Салаты,"Салат ""Гранат""","225,9 кКал","4,7 г",18 г,12 г
Салаты,"Салат ""Гранатовый браслет""","166,6 кКал","3,9 г","14,2 г","6,1 г"
Салаты,"Салат ""Грибки""","77,6 кКал","6,5 г","4,7 г","2,6 г"
Салаты,"Салат ""Золушка""",0 кКал,0 г,0 г,0 г
Салаты,"Салат ""Киевский""","160,9 кКал",5 г,12 г,"8,8 г"
Салаты,"Салат ""Копенгагенский""","75,7 кКал",3 г,"4,8 г","5,4 г"
Салаты,"Салат ""Кремлевский""","252,3 кКал","5,8 г","22,1 г","7,9 г"
Салаты,"Салат ""Летний""","102,5 кКал","3,6 г","7,5 г","5,4 г"
Салаты,"Салат ""Матрешки""","125,9 кКал","11,4 г","8,4 г","1,2 г"
Салаты,"Салат ""Мимоза""","296,6 кКал","6,3 г","28,3 г","4,4 г"
Салаты,"Салат ""Молдова""","283,5 кКал","5,5 г","20,4 г","20,7 г"
Салаты,"Салат ""Московский""","280,3 кКал","4,7 г","24,7 г","10,5 г"
Салаты,"Салат ""Невеста""","218,7 кКал","4,3 г","18,5 г","9,4 г"
Салаты,"Салат ""Нежность""",211 кКал,"5,1 г","8,7 г",30 г
Салаты,"Салат ""Обжарка""","132,6 кКал","3,8 г","11,9 г","2,7 г"
Салаты,"Салат ""Осенний"" из свежих овощей с рыбой",123 кКал,"8,3 г","7,7 г","5,5 г"
Салаты,"Салат ""Острый"" из картофеля с ветчиной и чесноком",175 кКал,"5,9 г","10,3 г","15,5 г"
Салаты,"Салат ""Петровский"" грибной с квашеной капустой и огурцами","110,5 кКал","1,5 г","10,3 г","3,1 г"
Салаты,"Салат ""Приятное с полезным""","101,7 кКал","8,5 г","0,7 г","16,5 г"
Салаты,"Салат ""Тихая заводь""","259,9 кКал","7,8 г","23,5 г","4,6 г"
Салаты,"Салат ""Универсал""","27,2 кКал",1 г,"0,2 г","5,6 г"
Салаты,"Салат ""Фантазия""",0 кКал,0 г,0 г,0 г
Салаты,"Салат ""Цезарь""","303,6 кКал","14,8 г","17,2 г",24 г
Салаты,"Салат ""Цезарь"" классический",0 кКал,0 г,0 г,0 г
Салаты,"Салат ""Эгоист""","252,3 кКал","10,5 г","19,5 г","9,2 г"
Салаты,"Салат ""Эксклюзив""","100,4 кКал","7,2 г","6,8 г","2,9 г"
Салаты,"Салат ""Экспериментальный""",85 кКал,"2,6 г","4,2 г","9,8 г"
Салаты,"Салат ""Эстонский""","166,2 кКал","2,3 г","14,2 г","7,8 г"
Салаты,Салат витаминный - 1,101 кКал,"1,3 г","7,4 г","7,8 г"
Салаты,Салат витаминный - 2,"113,7 кКал","1,4 г","7,7 г","10,3 г"
Салаты,Салат гороховый с яблоками,"102,3 кКал","3,3 г","5,3 г","11,2 г"
Салаты,Салат греческий,"188,5 кКал","3,9 г","17,8 г","3,4 г"
Салаты,Салат для мужчин,"127,5 кКал","1,6 г",10 г,"8,3 г"
Салаты,Салат из апельсинов и лука-порея,0 кКал,0 г,0 г,0 г
