Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Напитки,Кисель из концентрата на плодовых или ягодных экстрактах,"26,3 кКал",0 г,0 г,7 г
Напитки,Кисель из овсяных хлопьев,"130,6 кКал",4 г,"7,5 г","12,6 г"
Напитки,Кисель из плодов и ягод свежих,"55,2 кКал","0,06 г","0,02 г","14,6 г"
Напитки,Кисель из яблок (густой),"62,1 кКал","0,09 г","0,08 г","16,3 г"
Напитки,Кисель молочный,"33,5 кКал","0,9 г",1 г,"5,5 г"
Напитки,Кисель молочный (густой),"60,5 кКал",3 г,"3,3 г","4,9 г"
Напитки,Кисель морковный,"49,3 кКал","0,3 г","0,02 г","12,8 г"
Напитки,"Коктейль ""Юпитер""","82,5 кКал","2,5 г","4,7 г","8,1 г"
Напитки,Коктейль молочный,"96,6 кКал","2,9 г","4,3 г","12,5 г"
Напитки,Коктейль с креветками,"57,5 кКал","3,1 г","4,5 г","1,2 г"
Напитки,Компот из абрикосов,"48,4 кКал","0,2 г","0,02 г","12,7 г"
Напитки,Компот из айвы,"72,4 кКал","0,1 г","0,1 г","18,9 г"
Напитки,Компот из барбариса,"111,7 кКал",0 г,0 г,"29,8 г"
Напитки,Компот из вишни,"53,5 кКал","0,3 г","0,08 г","13,7 г"
Напитки,Компот из моркови,"34,1 кКал","0,3 г","0,02 г","8,8 г"
Напитки,Компот из плодов консервированных 2,"41,3 кКал","0,3 г","0,07 г","10,5 г"
Напитки,Компот из свежих плодов,"59,1 кКал","0,1 г","0,1 г","15,3 г"
Напитки,Компот из свеклы,"49,2 кКал",1 г,"0,07 г","11,8 г"
Напитки,Компот из смеси сухофруктов,"55,6 кКал","0,3 г",0 г,"14,5 г"
Напитки,Компот из тыквы и ревеня,"36,5 кКал","0,3 г","0,03 г","9,4 г"
Напитки,Компот из черники,"48,5 кКал","0,4 г","0,2 г",12 г
Напитки,Компот из яблок и слив или из яблок и алычи,"66,6 кКал","0,2 г","0,1 г","17,3 г"
Напитки,Костяничный кисель,"37,5 кКал","0,003 г",0 г,10 г
Напитки,Кофе на молоке,"64,1 кКал","1,4 г","1,5 г","12,1 г"
Напитки,Кофе на молоке по-варшавски,"72,5 кКал",2 г,3 г,"10,2 г"
Напитки,Кофе на молоке сгущенном,"254,3 кКал","2,3 г","2,4 г","59,5 г"
Напитки,Кофе по-восточному,"61,7 кКал","1,1 г","1,2 г","12,5 г"
Напитки,"Кофе черный 1-ый вариант (для кофеварки типа ""Экспресс""","202,6 кКал",14 г,"14,5 г","4,1 г"
Напитки,Кофе черный 2-ой вариант,"10,7 кКал","0,7 г","0,8 г","0,2 г"
Напитки,Кофе черный с мороженым (глясе),"111,7 кКал","1,9 г","4,1 г","17,9 г"
Напитки,Кофейный холодный напиток,"131,9 кКал","1,9 г","10,9 г","7,1 г"
Напитки,Креольский напиток,0 кКал,0 г,0 г,0 г
Напитки,Крыжовник с кефиром,"79,5 кКал",3 г,"4,7 г","6,6 г"
