Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Рыба_и_морепродукты,"Гребешок, приготовленный на пару",111 кКал,"20,54 г","0,84 г","5,41 г"
Рыба_и_морепродукты,"Групер, все виды, приготовленный на жару",118 кКал,"24,84 г","1,3 г",0 г
Рыба_и_морепродукты,"Групер, все виды, сырой",92 кКал,"19,38 г","1,02 г",0 г
Рыба_и_морепродукты,Джакас,120 кКал,"20,3 г","4,3 г",0 г
Рыба_и_морепродукты,"Дночерпатель,все виды, приготовленный на жару",128 кКал,"26,3 г","1,72 г",0 г
Рыба_и_морепродукты,"Дночерпатель,все виды, сырой",100 кКал,"20,51 г","1,34 г",0 г
Рыба_и_морепродукты,Дрепана,88 кКал,"19,4 г","1,1 г",0 г
Рыба_и_морепродукты,Ерш морской дальневосточный,150 кКал,"16,6 г","9,3 г",0 г
Рыба_и_морепродукты,Желтоперка,108 кКал,"17,9 г",4 г,0 г
Рыба_и_морепродукты,Жерех,99 кКал,"18,8 г","2,6 г",0 г
Рыба_и_морепродукты,"Жир тюленя, (Ларга, или пестрая нерпа), (Аляска)",894 кКал,0 г,"99,32 г",0 г
Рыба_и_морепродукты,Зеленоглазка,117 кКал,"19,6 г","4,3 г",0 г
Рыба_и_морепродукты,"Зразы из судака, по 1-382",164 кКал,"12,1 г","7,4 г","12,1 г"
Рыба_и_морепродукты,"Зразы из хека, по 1-374",140 кКал,"13,1 г","5,6 г","9,3 г"
Рыба_и_морепродукты,Зубан,132 кКал,"18,8 г","6,3 г",0 г
Рыба_и_морепродукты,Зубатка атлантическая,96 кКал,"17,5 г","2,39 г",0 г
Рыба_и_морепродукты,"Зубатка атлантическая, приготовленная на жару",123 кКал,"22,44 г","3,06 г",0 г
Рыба_и_морепродукты,"Зубатка жареная, по 1-364",209 кКал,"22,2 г","11,5 г","4,1 г"
Рыба_и_морепродукты,"Зубатка запеченная в сметанном соусе, по 1-376",137 кКал,"7,4 г","8,8 г","6,8 г"
Рыба_и_морепродукты,"Зубатка отварная, по 1-342",122 кКал,19 г,"5,1 г",0 г
Рыба_и_морепродукты,Зубатка пестрая,126 кКал,"19,6 г","5,3 г",0 г
Рыба_и_морепродукты,Зубатка полосатая,109 кКал,16 г,5 г,0 г
Рыба_и_морепродукты,"Икра белужья зернистая, соленая",235 кКал,"26,8 г","13,8 г","0,8 г"
Рыба_и_морепродукты,"Икра вобельная пробойная, соленая",142 кКал,"23,9 г","5,1 г",0 г
Рыба_и_морепродукты,"Икра вобельная ястычная (тарама), соленая",151 кКал,"24,9 г","5,7 г",0 г
Рыба_и_морепродукты,"Икра горбуши зернистая, соленая",230 кКал,"30,6 г","11,5 г",1 г
Рыба_и_морепродукты,"Икра кеты зернистая, соленая",249 кКал,"31,5 г","13,2 г",1 г
Рыба_и_морепродукты,"Икра лещевая пробойная, соленая",142 кКал,"24,7 г","4,8 г",0 г
Рыба_и_морепродукты,"Икра лобанья вяленая, соленая",505 кКал,"34,4 г","40,8 г",0 г
Рыба_и_морепродукты,"Икра минтая пробойная, соленая",132 кКал,"27,9 г","1,8 г","1,1 г"
Рыба_и_морепродукты,"Икра осетровая зернистая, соленая",200 кКал,"28,4 г","9,3 г","0,6 г"
Рыба_и_морепродукты,"Икра осетровая паюсная, соленая",289 кКал,"38,2 г","14,5 г","1,5 г"
Рыба_и_морепродукты,"Икра сазанья пробойная, соленая",123 кКал,"25,1 г","2,5 г",0 г
Рыба_и_морепродукты,"Икра севрюги зернистая, соленая",221 кКал,"28,2 г","11,7 г","0,7 г"
Рыба_и_морепродукты,"Икра сельди тихоокеанской, свежая",74 кКал,"9,6 г","1,93 г","4,47 г"
Рыба_и_морепродукты,"Икра сельди тихоокеанской, сухая",312 кКал,"60,4 г","6,6 г","2,8 г"
Рыба_и_морепродукты,"Икра сиговых рыб, свежая",104 кКал,"14,66 г","2,88 г","4,89 г"
Рыба_и_морепродукты,"Икра, черная и красная, зернистая, соленая",264 кКал,"24,6 г","17,9 г",4 г
Рыба_и_морепродукты,Кабан-рыба,220 кКал,"14,1 г","18,2 г",0 г
Рыба_и_морепродукты,Кальмар,100 кКал,18 г,"2,2 г",2 г
Рыба_и_морепродукты,"Кальмар, все виды, жареный",175 кКал,"17,94 г","7,48 г","7,79 г"
Рыба_и_морепродукты,"Кальмар, все виды, сырой",92 кКал,"15,58 г","1,38 г","3,08 г"
Рыба_и_морепродукты,"Камбала (морская и речная), приготовленная на жару",86 кКал,"15,24 г","2,37 г",0 г
Рыба_и_морепродукты,"Камбала (морская и речная), сырая",70 кКал,"12,41 г","1,93 г",0 г
Рыба_и_морепродукты,"Камбала в томатном соусе, консервы",125 кКал,"12,6 г","5,4 г","6,3 г"
