Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Овощи_и_зелень,"Брокколи китайская, приготовленная",22 кКал,"1,14 г","0,72 г","1,31 г"
Овощи_и_зелень,"Брокколи, вареная, без соли",35 кКал,"2,38 г","0,41 г","3,88 г"
Овощи_и_зелень,"Брокколи, вареная, с солью",35 кКал,"2,38 г","0,41 г","3,88 г"
Овощи_и_зелень,"Брокколи, ветви, замороженная, вареная, с солью",28 кКал,"3,1 г","0,11 г","2,35 г"
Овощи_и_зелень,"Брокколи, замороженная, вареная с солью",28 кКал,"3,1 г","0,12 г","2,35 г"
Овощи_и_зелень,"Брокколи, замороженная, вареная, без соли",28 кКал,"3,1 г","0,12 г","2,35 г"
Овощи_и_зелень,"Брокколи, замороженная, неприготовленная",26 кКал,"2,81 г","0,29 г","1,78 г"
Овощи_и_зелень,"Брокколи, листья, сырая",28 кКал,"2,98 г","0,35 г","2,76 г"
Овощи_и_зелень,"Брокколи, побеги, замороженные, вареные, без соли",28 кКал,"3,1 г","0,11 г","2,36 г"
Овощи_и_зелень,"Брокколи, побеги, замороженные, неприготовленные",29 кКал,"3,06 г","0,34 г","2,35 г"
Овощи_и_зелень,"Брокколи, стебель, сырая",28 кКал,"2,98 г","0,35 г","5,24 г"
Овощи_и_зелень,"Брокколи, цветы, сырая",28 кКал,"2,98 г","0,35 г","2,76 г"
Овощи_и_зелень,Брюква,37 кКал,"1,2 г","0,1 г","7,7 г"
Овощи_и_зелень,Брюква припущенная по 1-214,54 кКал,"1,3 г","1,6 г","8,4 г"
Овощи_и_зелень,"Брюква, вареная, без соли",30 кКал,"0,93 г","0,18 г","5,04 г"
Овощи_и_зелень,"Брюква, вареная, с солью",30 кКал,"0,93 г","0,18 г","5,04 г"
Овощи_и_зелень,"Брюква, сырая",37 кКал,"1,08 г","0,16 г","6,32 г"
Овощи_и_зелень,Брюссельская капуста,35 кКал,"4,8 г","0,3 г","3,1 г"
