Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Хлеб_и_выпечка,Булочки столичные,269 кКал,"8,4 г","2,2 г","53,7 г"
Хлеб_и_выпечка,"Вареники, по 2-174",172 кКал,12 г,"6,4 г","16,2 г"
Хлеб_и_выпечка,"Ватрушка, по 2-194",256 кКал,"11,9 г","6,4 г","37,5 г"
Хлеб_и_выпечка,Ватрушки картофельные по 1-246,165 кКал,"6,2 г","7,6 г","17,7 г"
Хлеб_и_выпечка,"Вафли, на пахте, замороженные, готовые к выпечке",273 кКал,"6,58 г","9,22 г","38,85 г"
Хлеб_и_выпечка,"Вафли, на пахте, замороженные, готовые к выпечке, поджаренные в тостере",309 кКал,"7,42 г","9,49 г","45,79 г"
Хлеб_и_выпечка,"Вафли, на пахте, замороженные, готовые к выпечке, разогретые в микроволновке",289 кКал,"6,92 г","9,4 г","41,76 г"
Хлеб_и_выпечка,"Вафли, обычные, замороженные, готовые к выпечке",285 кКал,"6,47 г","9,7 г","40,78 г"
Хлеб_и_выпечка,"Вафли, обычные, замороженные, готовые к употреблению, разогретые в микроволновке",298 кКал,"6,71 г","9,91 г","43,01 г"
Хлеб_и_выпечка,"Вафли, обычные, приготовленные по рецепту",291 кКал,"7,9 г","14,1 г","32,9 г"
Хлеб_и_выпечка,"Вафли, с шоколадной крошкой, замороженные, готовые к выпечке",297 кКал,"5,8 г","10,1 г","44,18 г"
Хлеб_и_выпечка,"Галушки, по 1-126",106 кКал,"3,9 г",1 г,"20,3 г"
Хлеб_и_выпечка,"Гренки, обычные",407 кКал,"11,9 г","6,6 г","68,4 г"
Хлеб_и_выпечка,"Гренки, приправленные специями",465 кКал,"10,8 г","18,3 г","58,5 г"
Хлеб_и_выпечка,"Жареный хлеб, приготовленный на сале (Апачи)",309 кКал,"8,38 г","10,14 г","44,31 г"
Хлеб_и_выпечка,"Ирландский содовый хлеб, приготовленный по рецепту",290 кКал,"6,6 г",5 г,"53,4 г"
Хлеб_и_выпечка,Исскуственная сухая смесь для черничных кексов,407 кКал,"4,7 г","8,7 г","77,45 г"
Хлеб_и_выпечка,Итальянский хлеб,259 кКал,"9,49 г","2,73 г","46,01 г"
Хлеб_и_выпечка,Клейковина сырая из муки 1 сорта,135 кКал,"26,2 г","0,3 г","7,4 г"
Хлеб_и_выпечка,Кофейный пирог с сыром,339 кКал,7 г,"15,2 г","43,3 г"
Хлеб_и_выпечка,"Кофейный пирог, с корицей и крошкой, промышленного изготовления, необогащенный",418 кКал,"6,8 г","23,3 г","44,7 г"
Хлеб_и_выпечка,"Кофейный пирог, с корицей и крошкой, промышленного изготовления, обогащенный",418 кКал,"6,8 г","23,3 г","44,7 г"
Хлеб_и_выпечка,"Кофейный пирог, с корицей и крошкой, сухая смесь, подготовленный",318 кКал,"5,5 г","9,6 г","51,6 г"
Хлеб_и_выпечка,"Кофейный пирог, с кремом и шоколадной глазурью",331 кКал,5 г,"10,8 г","51,8 г"
Хлеб_и_выпечка,"Кофейный пирог, фруктовый",311 кКал,"5,2 г","10,2 г",49 г
Хлеб_и_выпечка,Крекеры с отрубями,416 кКал,"9,2 г","14,1 г","63,2 г"
Хлеб_и_выпечка,Крекеры солёные из цельной пшеницы (включая другие злаки),398 кКал,"7,14 г","10,71 г","61,55 г"
Хлеб_и_выпечка,"Крекеры, из цельной пшеницы",427 кКал,"10,58 г","14,13 г","59,25 г"
Хлеб_и_выпечка,"Крекеры, из цельной пшеницы, с низким содерж. соли",443 кКал,"8,8 г","17,2 г","58,1 г"
Хлеб_и_выпечка,"Крекеры, из цельной пшеницы, с пониж. содерж. жира, 7.6%",416 кКал,"11,34 г","7,59 г","64,62 г"
Хлеб_и_выпечка,"Крекеры, молочные",446 кКал,"7,6 г","13,77 г","68,33 г"
Хлеб_и_выпечка,"Крекеры, пшеничные, обычные",455 кКал,"7,3 г","16,4 г","63,83 г"
Хлеб_и_выпечка,"Крекеры, пшеничные, с низким содерж. соли",473 кКал,"8,6 г","20,6 г","60,4 г"
Хлеб_и_выпечка,"Крекеры, пшеничные, с пониж. содерж. жира, 13.37%",444 кКал,"9,34 г","13,37 г","68,12 г"
Хлеб_и_выпечка,"Крекеры, сырные, обычные",489 кКал,"10,93 г","22,74 г","57,12 г"
Хлеб_и_выпечка,"Крекеры, сырные, с низким содерж. соды",503 кКал,"10,1 г","25,3 г","55,8 г"
Хлеб_и_выпечка,"Крекеры, сырные, типа сэндвича, с начинкой из арахисового масла",496 кКал,"12,41 г","25,12 г","53,34 г"
Хлеб_и_выпечка,"Крекеры, сырные, типа сэндвича, с сырной начинкой",490 кКал,"8,92 г","24,41 г","56,86 г"
Хлеб_и_выпечка,"Круассаны, сливочные",406 кКал,"8,2 г",21 г,"43,2 г"
Хлеб_и_выпечка,"Круассаны, сырные",414 кКал,"9,2 г","20,9 г","44,4 г"
Хлеб_и_выпечка,"Круассаны, яблочные",254 кКал,"7,4 г","8,7 г","34,6 г"
Хлеб_и_выпечка,"Кулебяка с рыбой и рисом, по 2-196",206 кКал,"10,5 г","4,1 г","31,8 г"
Хлеб_и_выпечка,Лаваш армянский тонкий (пшеничная мука 1 сорта),277 кКал,"9,1 г","1,1 г","56,8 г"
Хлеб_и_выпечка,"Лаваш белый, обогащенный",275 кКал,"9,1 г","1,2 г","53,5 г"
Хлеб_и_выпечка,"Лаваш, из цельного зерна",262 кКал,"9,8 г","1,71 г","49,79 г"
Хлеб_и_выпечка,"Маффины кукурузные, промышленного изготовления",305 кКал,"5,9 г","8,4 г","47,6 г"
Хлеб_и_выпечка,"Маффины с черникой, промышленного изготовления, (включая мини-маффины)",375 кКал,"4,49 г","16,07 г","51,9 г"
Хлеб_и_выпечка,"Маффины с черникой, промышленного изготовления, маложирные, 4.22% жира",255 кКал,"4,23 г","4,22 г","45,85 г"
Хлеб_и_выпечка,"Маффины, кукурузные, для приготовления в тостере",346 кКал,"5,3 г","11,3 г","56,3 г"
Хлеб_и_выпечка,"Маффины, кукурузные, сухая смесь, приготовленные",321 кКал,"7,4 г","10,2 г","46,7 г"
Хлеб_и_выпечка,"Маффины, с овсяными отрубями",270 кКал,7 г,"7,4 г","43,7 г"
Хлеб_и_выпечка,"Маффины, с пшеничными отрубями, с изюмом, поджаренные в тостере",313 кКал,"5,5 г","9,4 г","47,3 г"
Хлеб_и_выпечка,"Маффины, с пшеничными отрубями, сухая смесь",396 кКал,"7,1 г",12 г,73 г
Хлеб_и_выпечка,"Маффины, с черникой, для приготовления в тостере",313 кКал,"4,6 г","9,5 г","51,5 г"
Хлеб_и_выпечка,"Маффины, с черникой, для приготовления в тостере, поджаренные в тостере",333 кКал,"4,9 г","10,1 г","54,8 г"
Хлеб_и_выпечка,"Маффины, с черникой, сухая смесь",293 кКал,"3,48 г","3,25 г","59,6 г"
Хлеб_и_выпечка,"Морковный пирог, сухая смесь, пудинг",415 кКал,"5,1 г","9,8 г","79,2 г"
Хлеб_и_выпечка,Овсяный хлеб низкокалорийный,210 кКал,"7,6 г","3,5 г","43,3 г"
Хлеб_и_выпечка,Овсяный хлеб с отрубями,236 кКал,"10,4 г","4,4 г","35,3 г"
Хлеб_и_выпечка,"Овсяный хлеб с отрубями, низкокалорийный",201 кКал,8 г,"3,2 г","29,3 г"
Хлеб_и_выпечка,"Овсяный хлеб с отрубями, низкокалорийный, тосты",239 кКал,"9,5 г","3,8 г","34,9 г"
Хлеб_и_выпечка,"Овсяный хлеб с отрубями, тосты",259 кКал,"11,4 г","4,8 г","38,8 г"
Хлеб_и_выпечка,"Овсяный хлеб, тосты",292 кКал,"9,2 г","4,8 г","48,4 г"
Хлеб_и_выпечка,Оладьи из тыквы по 1-238,158 кКал,4 г,7 г,"19,8 г"
Хлеб_и_выпечка,"Оладьи, по 2-176",213 кКал,"6,5 г","6,6 г","31,6 г"
Хлеб_и_выпечка,"Пампушки, с чесноком, по 1-124",299 кКал,"8,6 г","3,3 г","58,8 г"
Хлеб_и_выпечка,Панировочные сухари,395 кКал,"13,35 г","5,3 г","67,48 г"
Хлеб_и_выпечка,Панировочные сухари с приправами,383 кКал,"14,13 г","5,48 г","63,59 г"
Хлеб_и_выпечка,"Паратха, индийская лепёшка из цельнозерновой пшеничной муки",326 кКал,"6,36 г","13,2 г","35,75 г"
Хлеб_и_выпечка,"Печенья, дамские пальчики, без лимонного сока и кожуры",363 кКал,"10,6 г","9,1 г","58,7 г"
Хлеб_и_выпечка,"Печенья, дамские пальчики, с лимонным соком и кожурой",365 кКал,"10,6 г","9,1 г","58,7 г"
Хлеб_и_выпечка,"Печенья, крекеры, в шоколадной глазури",500 кКал,4 г,"25,8 г","64,58 г"
Хлеб_и_выпечка,"Печенья, крекеры, обычные или медовые, (включаяя с корицей)",430 кКал,"6,69 г","10,6 г","74,26 г"
Хлеб_и_выпечка,"Печенья, с шоколадной крошкой, сухая смесь",497 кКал,"4,6 г","25,2 г","66,1 г"
Хлеб_и_выпечка,"Печенья, шоколадные вафли",433 кКал,"6,6 г","14,2 г","69,3 г"
Хлеб_и_выпечка,"Пирог белый, приготовленный по рецепту с кокосовой глазурью",356 кКал,"4,4 г","10,3 г","62,2 г"
Хлеб_и_выпечка,"Пирог вишневый, промышленного изготовления",260 кКал,2 г,11 г,39 г
Хлеб_и_выпечка,"Пирог на завтрак, с пониженным содержанием жира",372 кКал,"3,99 г","5,99 г","75,3 г"
Хлеб_и_выпечка,"Пирог с заварным кремом из кокоса, промышленного изготовления",260 кКал,"5,9 г","13,2 г","28,4 г"
Хлеб_и_выпечка,"Пирог с кокосовым кремом, промышленного изготовления",298 кКал,"2,1 г","16,6 г",36 г
Хлеб_и_выпечка,"Пирог с черникой, промышленного изготовления",232 кКал,"1,8 г",10 г,"33,9 г"
Хлеб_и_выпечка,"Пирог с шоколадным кремом, промышленного изготовления",304 кКал,"2,6 г","19,4 г","33,6 г"
Хлеб_и_выпечка,"Пирог с яичным заварным кремом, промышленного изготовления",210 кКал,"5,5 г","11,6 г","19,2 г"
Хлеб_и_выпечка,"Пирог тыквенный, промышленного изготовления",243 кКал,"3,9 г","9,75 г","33,03 г"
Хлеб_и_выпечка,"Пирог яблочный, промышленного изготовления, из обогащенной муки",237 кКал,"1,9 г",11 г,"32,4 г"
Хлеб_и_выпечка,"Пирог, белый, приготовленный по рецепту, без глазури",357 кКал,"5,4 г","12,4 г","56,4 г"
Хлеб_и_выпечка,"Пирог, белый, сухая смесь, диетический (с запахом лимона)",397 кКал,3 г,"8,4 г","79,6 г"
