Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Бондюэль,"Зелёный Горошек Нежный 0,7% [Бондюэль]",52 кКал,"4,8 г","0,2 г","7,5 г"
Бондюэль,Зелёный Горошек Нежный 0% [Бондюэль],89 кКал,"6,6 г",0 г,"15,4 г"
Бондюэль,Зелёный Горошек с Молодой Морковью [Бондюэль],48 кКал,"2,7 г","0,4 г","6,5 г"
Бондюэль,Зелёный Горошек с Морковью [Бондюэль],49 кКал,"3,2 г","0,5 г","5,4 г"
Бондюэль,Зелёный Горошек с Морковью в Кубиках [Бондюэль],49 кКал,"2,5 г","0,7 г","5,8 г"
Бондюэль,Икра Баклажанная [Бондюэль],102 кКал,"1,7 г",7 г,"8,1 г"
Бондюэль,Икра из Баклажанов Запеченных на Гриле [Бондюэль],102 кКал,"1,7 г",7 г,"8,1 г"
Бондюэль,Икра из Кабачков [Бондюэль],97 кКал,1 г,7 г,7 г
Бондюэль,Италия Микс [Бондюэль],76 кКал,2 г,"3,5 г","6,8 г"
Бондюэль,Кабачки по-Тоскански [Бондюэль],72 кКал,"1,5 г","3,4 г",8 г
Бондюэль,Капуста Брокколи [Бондюэль],30 кКал,"2,3 г","0,3 г","3,2 г"
Бондюэль,Капуста Романеско [Бондюэль],25 кКал,"2,9 г","0,5 г","2,2 г"
Бондюэль,Коричневая фасоль со сладким перцем в соусе Кайен [Бондюэль],44 кКал,"2,6 г","0,4 г","7,6 г"
Бондюэль,Корнишоны Маринованные [Бондюэль],20 кКал,1 г,"0,2 г","3,5 г"
Бондюэль,Корнишоны маринованные 3-6 см [Бондюэль],20 кКал,1 г,"0,2 г","3,5 г"
Бондюэль,Красная Фасоль [Бондюэль],87 кКал,"5,3 г","0,2 г",16 г
Бондюэль,Красная фасоль в соусе Чили [Бондюэль],125 кКал,"5,5 г",3 г,19 г
Бондюэль,Красная Фасоль в Томатном Соусе Чили [Бондюэль],124 кКал,"5,8 г","2,8 г",19 г
Бондюэль,Красная Фасоль Консервированная [Бондюэль],87 кКал,"5,3 г","0,2 г",16 г
Бондюэль,Красная Фасоль с Кукурузой в Мексиканском Соусе [Бондюэль],107 кКал,4 г,"2,8 г","14,7 г"
Бондюэль,Кукуруза [Бондюэль],58 кКал,"2,9 г","0,6 г","9,9 г"
Бондюэль,Кукуруза золотистая [Бондюэль],96 кКал,"3,2 г",1 г,"18,6 г"
Бондюэль,Кукуруза Консервированная [Бондюэль],112 кКал,3 г,"1,3 г","20,5 г"
Бондюэль,Кукуруза на Пару [Бондюэль],80 кКал,"2,9 г","1,9 г","10,8 г"
Бондюэль,Кукуруза Натурально Сладкая [Бондюэль],80 кКал,"2,9 г","1,9 г","10,8 г"
Бондюэль,Кукуруза Сладкая [Бондюэль],58 кКал,"2,9 г","0,6 г","9,9 г"
Бондюэль,Кукуруза сладкая в зёрнах [Бондюэль],93 кКал,"3,3 г","2,3 г","14,7 г"
Бондюэль,Кукуруза сладкая в зернах в вакуумной упаковке [Бондюэль],115 кКал,"3,9 г","1,3 г",22 г
Бондюэль,Кукуруза сладкая в початках [Бондюэль],101 кКал,"3,5 г","2,8 г","15,6 г"
Бондюэль,Лечо [Бондюэль],65 кКал,0 г,0 г,"16,6 г"
Бондюэль,Лечо в томатном соусе замороженное [Бондюэль],35 кКал,"1,3 г","0,9 г","5,4 г"
Бондюэль,Маслины без Косточки [Бондюэль],115 кКал,"0,8 г","10,7 г","6,3 г"
Бондюэль,Маслины с косточкой / без косточки [Бондюэль],115 кКал,"0,8 г","10,7 г","6,3 г"
Бондюэль,Мексика Микс [Бондюэль],49 кКал,"3,1 г","0,9 г","8,9 г"
Бондюэль,Мексиканская Смесь [Бондюэль],49 кКал,"3,1 г","0,9 г","8,9 г"
Бондюэль,Мексиканская Смесь для Жарки [Бондюэль],75 кКал,"3,5 г","0,5 г",14 г
Бондюэль,Молодая Кукуруза [Бондюэль],70 кКал,"2,6 г",1 г,"12,6 г"
Бондюэль,Молодая Морковь [Бондюэль],23 кКал,"0,6 г","0,3 г","3,4 г"
Бондюэль,Молодая морковь Экстра [Бондюэль],25 кКал,"0,5 г","0,7 г","4,2 г"
Бондюэль,Молодой Горошек [Бондюэль],72 кКал,"5,2 г","0,9 г","6,8 г"
Бондюэль,Морковь молодая целая [Бондюэль],27 кКал,"0,8 г","0,5 г",5 г
Бондюэль,Морковь Тертая на Пару [Бондюэль],38 кКал,"0,6 г","0,4 г","6,5 г"
Бондюэль,Нут на Пару [Бондюэль],130 кКал,"3,5 г","3,2 г",21 г
Бондюэль,Овощи Гриль [Бондюэль],61 кКал,"2,2 г","2,7 г","5,6 г"
Бондюэль,Овощи для супа из шампиньонов [Бондюэль],22 кКал,"0,3 г","0,3 г",6 г
